id,measure_count,note_count,8th,qtr,half,16th,other,per_measure_sig,side_by_side,suspicious
372,8,64,64,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0372.png,
373,3,24,24,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0373.png,
374,3,24,24,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0374.png,
375,2,16,16,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0375.png,
376,2,16,16,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0376.png,
377,4,24,24,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0377.png,
378,4,24,24,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0378.png,
379,4,24,24,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0379.png,
380,4,24,18,0,0,0,6,"0.5,0.5,0.5,0.5,0.5,0.5 | 0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333 | 0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0380.png,
381,4,24,24,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0381.png,
382,4,24,24,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0382.png,
383,4,26,0,19,1,0,6,"1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0 | 1.0,1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0 | 1.0,1.0,1.0,1.0,1.0",/tmp/bml-book-compare/0383.png,
