id,error,measure_count,pitched_count,rest_count,chord_count,time_sig,key_sig,empty_measures,max_notes_per_measure,suspicious
360,,5,34,0,0,,,0,8,
361,,3,15,0,0,,,0,5,
362,,3,15,0,0,,,0,5,
363,,3,24,0,0,,,0,8,
364,,7,36,0,0,,,0,8,
365,,10,63,0,0,,,0,8,
366,,5,26,0,0,,,0,8,
367,,3,21,0,0,,,0,7,
368,,2,16,0,0,,,0,8,
369,,4,26,0,0,,,0,8,
370,,6,48,0,0,,,0,8,
371,,7,56,0,0,,,0,8,
372,,8,64,0,0,,,0,8,
373,,3,24,0,0,,,0,8,
374,,3,24,0,0,,,0,8,
375,,2,16,0,0,,,0,8,
376,,2,16,0,0,,,0,8,
377,,4,24,0,0,,,0,6,
378,,4,24,0,0,,,0,6,
379,,4,24,0,0,,,0,6,
380,,4,24,0,0,,,0,6,
381,,4,24,0,0,,,0,6,
382,,4,24,0,0,,,0,6,
383,,4,25,0,1,,,0,10,
384,,5,25,0,0,,,0,5,
385,,5,25,0,0,,,0,5,
386,,3,20,0,0,,,0,8,
387,,5,25,0,0,,,0,5,
388,,8,32,0,0,,,0,5,
389,,4,28,0,0,,,0,7,
390,,3,24,0,0,,,0,8,
391,,4,24,0,0,,,0,6,
392,,5,32,0,0,,,0,8,
393,,3,36,0,0,<music21.meter.TimeSignature 4/4>,,0,12,
394,,3,13,0,0,,,0,8,
395,,2,19,0,1,,,0,10,
396,,2,24,0,0,,,0,12,
397,,2,22,0,0,,,0,12,
398,,4,20,0,0,,,0,7,
399,,6,34,0,0,,,0,8,
400,,4,24,0,0,,,0,7,
401,,3,24,0,0,,,0,8,
402,,3,24,0,0,,,0,8,
403,,3,24,0,0,,,0,8,
404,,4,28,0,0,,,0,8,
405,,4,28,0,0,,,0,8,
406,,5,25,0,0,,,0,5,
407,,5,25,0,0,,,0,5,
